Found 200 images and 200 masks.

===== Training with 1 positive/negative clicks =====
[Epoch 43] Train=3.1584 | Val=0.2023 | Dice=0.4983 | IoU=0.4606 | Acc=0.9334 | Sens=0.9026 | Spec=0.9496
[Epoch 44] Train=3.1778 | Val=0.1995 | Dice=0.4990 | IoU=0.4618 | Acc=0.9345 | Sens=0.9040 | Spec=0.9506
[Epoch 45] Train=3.3189 | Val=0.1975 | Dice=0.4989 | IoU=0.4622 | Acc=0.9355 | Sens=0.9018 | Spec=0.9532
[Epoch 46] Train=2.9600 | Val=0.1976 | Dice=0.4980 | IoU=0.4614 | Acc=0.9354 | Sens=0.8965 | Spec=0.9557
[Epoch 47] Train=3.3990 | Val=0.1956 | Dice=0.4973 | IoU=0.4611 | Acc=0.9359 | Sens=0.8936 | Spec=0.9580
[Epoch 48] Train=3.2211 | Val=0.1969 | Dice=0.4952 | IoU=0.4582 | Acc=0.9346 | Sens=0.8921 | Spec=0.9566
[Epoch 49] Train=3.2831 | Val=0.1979 | Dice=0.4950 | IoU=0.4572 | Acc=0.9335 | Sens=0.8954 | Spec=0.9532
[Epoch 50] Train=3.1823 | Val=0.1982 | Dice=0.4977 | IoU=0.4594 | Acc=0.9335 | Sens=0.9053 | Spec=0.9481
Finished training with 1 clicks.

===== Training with 5 positive/negative clicks =====
[Epoch 01] Train=10.7453 | Val=0.6957 | Dice=0.3920 | IoU=0.3334 | Acc=0.3881 | Sens=0.9932 | Spec=0.1017
[Epoch 02] Train=8.0808 | Val=0.6272 | Dice=0.2804 | IoU=0.2360 | Acc=0.7702 | Sens=0.4690 | Spec=0.9139
[Epoch 03] Train=6.9369 | Val=0.5141 | Dice=0.3220 | IoU=0.2775 | Acc=0.8014 | Sens=0.5494 | Spec=0.9220
[Epoch 04] Train=6.2957 | Val=0.4224 | Dice=0.3890 | IoU=0.3473 | Acc=0.8385 | Sens=0.6732 | Spec=0.9180
[Epoch 05] Train=5.5709 | Val=0.3626 | Dice=0.4431 | IoU=0.4026 | Acc=0.8858 | Sens=0.7918 | Spec=0.9307
[Epoch 06] Train=5.3670 | Val=0.3735 | Dice=0.4532 | IoU=0.4112 | Acc=0.8606 | Sens=0.8667 | Spec=0.8578
[Epoch 07] Train=4.7201 | Val=0.3618 | Dice=0.4517 | IoU=0.4100 | Acc=0.8776 | Sens=0.8770 | Spec=0.8773
[Epoch 08] Train=4.6522 | Val=0.3044 | Dice=0.4511 | IoU=0.4093 | Acc=0.9005 | Sens=0.8670 | Spec=0.9164
[Epoch 09] Train=4.4124 | Val=0.2833 | Dice=0.4602 | IoU=0.4220 | Acc=0.9095 | Sens=0.8956 | Spec=0.9163
[Epoch 10] Train=4.6303 | Val=0.2937 | Dice=0.4645 | IoU=0.4269 | Acc=0.9125 | Sens=0.9189 | Spec=0.9093
[Epoch 11] Train=4.0112 | Val=0.2911 | Dice=0.4621 | IoU=0.4255 | Acc=0.9150 | Sens=0.9026 | Spec=0.9206
[Epoch 12] Train=3.9096 | Val=0.2608 | Dice=0.4654 | IoU=0.4296 | Acc=0.9250 | Sens=0.8803 | Spec=0.9462
[Epoch 13] Train=4.1838 | Val=0.2704 | Dice=0.4658 | IoU=0.4296 | Acc=0.9232 | Sens=0.8905 | Spec=0.9384
[Epoch 14] Train=4.1336 | Val=0.2361 | Dice=0.4728 | IoU=0.4386 | Acc=0.9355 | Sens=0.8984 | Spec=0.9530
[Epoch 15] Train=4.0044 | Val=0.2526 | Dice=0.4681 | IoU=0.4330 | Acc=0.9311 | Sens=0.8835 | Spec=0.9536
[Epoch 16] Train=3.7984 | Val=0.2456 | Dice=0.4726 | IoU=0.4385 | Acc=0.9295 | Sens=0.9081 | Spec=0.9397
[Epoch 17] Train=3.6374 | Val=0.2592 | Dice=0.4718 | IoU=0.4372 | Acc=0.9229 | Sens=0.9321 | Spec=0.9185
[Epoch 18] Train=3.5381 | Val=0.2512 | Dice=0.4698 | IoU=0.4357 | Acc=0.9230 | Sens=0.9275 | Spec=0.9208
[Epoch 19] Train=3.5246 | Val=0.2506 | Dice=0.4634 | IoU=0.4278 | Acc=0.9249 | Sens=0.8774 | Spec=0.9469
[Epoch 20] Train=3.7502 | Val=0.2824 | Dice=0.4697 | IoU=0.4336 | Acc=0.9123 | Sens=0.9391 | Spec=0.8996
[Epoch 21] Train=3.5084 | Val=0.2475 | Dice=0.4695 | IoU=0.4349 | Acc=0.9305 | Sens=0.9049 | Spec=0.9428
[Epoch 22] Train=3.3819 | Val=0.2400 | Dice=0.4685 | IoU=0.4339 | Acc=0.9309 | Sens=0.8988 | Spec=0.9461
[Epoch 23] Train=3.3591 | Val=0.2306 | Dice=0.4739 | IoU=0.4411 | Acc=0.9345 | Sens=0.9163 | Spec=0.9432
[Epoch 24] Train=3.3455 | Val=0.2264 | Dice=0.4786 | IoU=0.4465 | Acc=0.9364 | Sens=0.9250 | Spec=0.9418
[Epoch 25] Train=3.1685 | Val=0.2264 | Dice=0.4797 | IoU=0.4475 | Acc=0.9369 | Sens=0.9290 | Spec=0.9406
[Epoch 26] Train=3.2121 | Val=0.2187 | Dice=0.4801 | IoU=0.4486 | Acc=0.9396 | Sens=0.9232 | Spec=0.9472
[Epoch 27] Train=3.0678 | Val=0.2195 | Dice=0.4811 | IoU=0.4503 | Acc=0.9405 | Sens=0.9262 | Spec=0.9471
[Epoch 28] Train=3.3031 | Val=0.2321 | Dice=0.4793 | IoU=0.4466 | Acc=0.9353 | Sens=0.9366 | Spec=0.9348
[Epoch 29] Train=3.4170 | Val=0.2234 | Dice=0.4816 | IoU=0.4508 | Acc=0.9380 | Sens=0.9344 | Spec=0.9397
[Epoch 30] Train=3.0506 | Val=0.2168 | Dice=0.4825 | IoU=0.4522 | Acc=0.9405 | Sens=0.9299 | Spec=0.9455
[Epoch 31] Train=3.1014 | Val=0.2052 | Dice=0.4797 | IoU=0.4493 | Acc=0.9446 | Sens=0.9100 | Spec=0.9609
[Epoch 32] Train=3.0512 | Val=0.2042 | Dice=0.4801 | IoU=0.4501 | Acc=0.9450 | Sens=0.9126 | Spec=0.9602
[Epoch 33] Train=2.9281 | Val=0.2061 | Dice=0.4841 | IoU=0.4544 | Acc=0.9448 | Sens=0.9256 | Spec=0.9537
[Epoch 34] Train=3.0211 | Val=0.2297 | Dice=0.4813 | IoU=0.4501 | Acc=0.9333 | Sens=0.9406 | Spec=0.9297
[Epoch 35] Train=3.0680 | Val=0.2071 | Dice=0.4828 | IoU=0.4532 | Acc=0.9422 | Sens=0.9290 | Spec=0.9484
[Epoch 36] Train=2.7930 | Val=0.2090 | Dice=0.4747 | IoU=0.4432 | Acc=0.9406 | Sens=0.9047 | Spec=0.9572
[Epoch 37] Train=2.8146 | Val=0.2091 | Dice=0.4828 | IoU=0.4529 | Acc=0.9426 | Sens=0.9350 | Spec=0.9460
[Epoch 38] Train=3.4199 | Val=0.2026 | Dice=0.4819 | IoU=0.4521 | Acc=0.9449 | Sens=0.9251 | Spec=0.9541
[Epoch 39] Train=2.8789 | Val=0.1929 | Dice=0.4861 | IoU=0.4585 | Acc=0.9496 | Sens=0.9239 | Spec=0.9615
[Epoch 40] Train=3.2097 | Val=0.2079 | Dice=0.4855 | IoU=0.4560 | Acc=0.9412 | Sens=0.9394 | Spec=0.9418
[Epoch 41] Train=3.0646 | Val=0.2139 | Dice=0.4824 | IoU=0.4524 | Acc=0.9364 | Sens=0.9373 | Spec=0.9358
[Epoch 42] Train=2.9893 | Val=0.2136 | Dice=0.4847 | IoU=0.4545 | Acc=0.9377 | Sens=0.9404 | Spec=0.9360
[Epoch 43] Train=3.0600 | Val=0.2447 | Dice=0.4776 | IoU=0.4433 | Acc=0.9208 | Sens=0.9368 | Spec=0.9130
[Epoch 44] Train=3.3079 | Val=0.2014 | Dice=0.4818 | IoU=0.4506 | Acc=0.9395 | Sens=0.9234 | Spec=0.9469
[Epoch 45] Train=2.8232 | Val=0.1851 | Dice=0.4872 | IoU=0.4591 | Acc=0.9486 | Sens=0.9197 | Spec=0.9618
[Epoch 46] Train=2.8636 | Val=0.1954 | Dice=0.4870 | IoU=0.4594 | Acc=0.9481 | Sens=0.9305 | Spec=0.9558
[Epoch 47] Train=2.9619 | Val=0.2113 | Dice=0.4847 | IoU=0.4550 | Acc=0.9406 | Sens=0.9486 | Spec=0.9364
[Epoch 48] Train=2.7532 | Val=0.1965 | Dice=0.4848 | IoU=0.4541 | Acc=0.9452 | Sens=0.9397 | Spec=0.9475
[Epoch 49] Train=2.6785 | Val=0.1865 | Dice=0.4869 | IoU=0.4575 | Acc=0.9499 | Sens=0.9390 | Spec=0.9547
[Epoch 50] Train=2.6025 | Val=0.1846 | Dice=0.4906 | IoU=0.4631 | Acc=0.9521 | Sens=0.9406 | Spec=0.9571
Finished training with 5 clicks.

===== Training with 10 positive/negative clicks =====
[Epoch 01] Train=10.0773 | Val=0.7123 | Dice=0.3232 | IoU=0.2618 | Acc=0.2618 | Sens=1.0000 | Spec=0.0000
[Epoch 02] Train=7.5986 | Val=0.6386 | Dice=0.3280 | IoU=0.2812 | Acc=0.7826 | Sens=0.6700 | Spec=0.8373
[Epoch 03] Train=6.6223 | Val=0.5154 | Dice=0.3110 | IoU=0.2687 | Acc=0.8069 | Sens=0.6197 | Spec=0.8870
[Epoch 04] Train=5.5926 | Val=0.4637 | Dice=0.3727 | IoU=0.3263 | Acc=0.8090 | Sens=0.7981 | Spec=0.8201
[Epoch 05] Train=5.4188 | Val=0.3981 | Dice=0.4105 | IoU=0.3680 | Acc=0.8490 | Sens=0.9207 | Spec=0.8258
[Epoch 06] Train=4.3200 | Val=0.3239 | Dice=0.3904 | IoU=0.3469 | Acc=0.8945 | Sens=0.8546 | Spec=0.9184
[Epoch 07] Train=4.2294 | Val=0.2894 | Dice=0.3982 | IoU=0.3582 | Acc=0.9116 | Sens=0.8560 | Spec=0.9380
[Epoch 08] Train=3.8880 | Val=0.2845 | Dice=0.4149 | IoU=0.3735 | Acc=0.9103 | Sens=0.9173 | Spec=0.9137
[Epoch 09] Train=4.0449 | Val=0.2686 | Dice=0.4231 | IoU=0.3857 | Acc=0.9224 | Sens=0.9434 | Spec=0.9155
[Epoch 10] Train=3.5142 | Val=0.2923 | Dice=0.4214 | IoU=0.3804 | Acc=0.9063 | Sens=0.9327 | Spec=0.9000
[Epoch 11] Train=3.4464 | Val=0.2673 | Dice=0.4237 | IoU=0.3838 | Acc=0.9209 | Sens=0.9295 | Spec=0.9188
[Epoch 12] Train=3.5879 | Val=0.2693 | Dice=0.4197 | IoU=0.3790 | Acc=0.9201 | Sens=0.9157 | Spec=0.9260
[Epoch 13] Train=3.4885 | Val=0.2966 | Dice=0.4183 | IoU=0.3775 | Acc=0.9063 | Sens=0.9510 | Spec=0.8938
[Epoch 14] Train=3.6485 | Val=0.2644 | Dice=0.4134 | IoU=0.3733 | Acc=0.9147 | Sens=0.8969 | Spec=0.9237
[Epoch 15] Train=3.3625 | Val=0.2485 | Dice=0.4236 | IoU=0.3844 | Acc=0.9247 | Sens=0.9155 | Spec=0.9302
[Epoch 16] Train=3.1951 | Val=0.3216 | Dice=0.4206 | IoU=0.3801 | Acc=0.8898 | Sens=0.9595 | Spec=0.8675
[Epoch 17] Train=3.3788 | Val=0.2459 | Dice=0.4275 | IoU=0.3913 | Acc=0.9253 | Sens=0.9455 | Spec=0.9186
[Epoch 18] Train=3.1068 | Val=0.2308 | Dice=0.4275 | IoU=0.3907 | Acc=0.9335 | Sens=0.9158 | Spec=0.9431
[Epoch 19] Train=3.0933 | Val=0.2667 | Dice=0.4307 | IoU=0.3950 | Acc=0.9201 | Sens=0.9541 | Spec=0.9071
[Epoch 20] Train=3.0762 | Val=0.2425 | Dice=0.4269 | IoU=0.3891 | Acc=0.9212 | Sens=0.9285 | Spec=0.9211
[Epoch 21] Train=2.9415 | Val=0.2459 | Dice=0.4257 | IoU=0.3902 | Acc=0.9179 | Sens=0.9313 | Spec=0.9127
[Epoch 22] Train=2.7680 | Val=0.2886 | Dice=0.4293 | IoU=0.3922 | Acc=0.9009 | Sens=0.9664 | Spec=0.8788
[Epoch 23] Train=3.0272 | Val=0.2239 | Dice=0.4348 | IoU=0.4023 | Acc=0.9312 | Sens=0.9489 | Spec=0.9242
[Epoch 24] Train=2.7046 | Val=0.2288 | Dice=0.4351 | IoU=0.4015 | Acc=0.9284 | Sens=0.9507 | Spec=0.9206
[Epoch 25] Train=2.8689 | Val=0.2182 | Dice=0.4346 | IoU=0.3992 | Acc=0.9356 | Sens=0.9549 | Spec=0.9290
[Epoch 26] Train=2.7199 | Val=0.2075 | Dice=0.4316 | IoU=0.3992 | Acc=0.9357 | Sens=0.9442 | Spec=0.9310
[Epoch 27] Train=2.8300 | Val=0.2895 | Dice=0.4207 | IoU=0.3811 | Acc=0.9037 | Sens=0.9445 | Spec=0.8937
[Epoch 28] Train=2.8697 | Val=0.2018 | Dice=0.4205 | IoU=0.3858 | Acc=0.9351 | Sens=0.8792 | Spec=0.9577
[Epoch 29] Train=2.8968 | Val=0.2378 | Dice=0.4305 | IoU=0.3935 | Acc=0.9242 | Sens=0.9485 | Spec=0.9163
[Epoch 30] Train=2.6910 | Val=0.2340 | Dice=0.4305 | IoU=0.3951 | Acc=0.9228 | Sens=0.9339 | Spec=0.9207
[Epoch 31] Train=2.7070 | Val=0.2184 | Dice=0.4325 | IoU=0.3964 | Acc=0.9341 | Sens=0.9586 | Spec=0.9251
[Epoch 32] Train=2.6295 | Val=0.2782 | Dice=0.4210 | IoU=0.3854 | Acc=0.8996 | Sens=0.9140 | Spec=0.8981
